show_id,type,title,release_year,duration
81145628,Movie,Norm of the North: King Sized Adventure,2019,90
80117401,Movie,Jandino: Whatever it Takes,2016,94
70234439,TV Show,Transformers Prime,2013,1000
80058654,TV Show,Transformers: Robots in Disguise,2016,100
80125979,Movie,#realityhigh,2017,99
80163890,TV Show,Apaches,2016,1000
80070182,Movie,Circle,2015,860
80176234,TV Show,Black Money Love,2014,10
80117902,TV Show,Fire Chasers,2017,1000
70304990,Movie,Good People,2014,900
80221550,TV Show,Archibald's Next Big Thing,2019,1000
81154455,Movie,Article 15,2019,1250
81113928,Movie,Care of Kancharapalem,2018,1420
81052275,Movie,Ee Nagaraniki Emaindi,2018,1330
81132437,Movie,Kill Me If You Dare,2019,1000
80178151,TV Show,The Spy,2019,1000
20254278,Movie,Aakhri Adaalat,1988,1480
80203742,Movie,"Alias JJ, la celebridad del mal",2017,540
80189208,TV Show,All About Love,2017,10
70276596,Movie,Berserk: The Golden Age Arc II - The Battle for Doldrey,2012,920
80063025,Movie,Berserk: The Golden Age Arc III - The Advent,2013,1070
70068739,Movie,Brother's Shadow,2006,900
80158389,Movie,Chadi Jawani Budhe Nu,1976,1350
80184974,Movie,Concrete Football,2016,520
80156941,Movie,Ek Jaan Hain Hum,1983,1510
80178543,TV Show,FINAL FANTASY XIV Dad of Light,2017,10
70213196,TV Show,Gurren Lagann,2007,10
70208520,TV Show,High Risk,1988,10
80061314,Movie,Incorruptible,2015,900
70052492,Movie,Inuyasha the Movie - L'isola del fuoco scarlatto,2004,880
70036200,Movie,Inuyasha the Movie - La spada del dominatore del mondo,2003,990
70018513,Movie,InuYasha: The Movie 2: The Castle Beyond the Looking Glass,2002,990
81014988,Movie,Once Again,2018,1010
80102950,Movie,Pee Mak,2013,1120
80994108,TV Show,Sisters,2018,10
70055221,Movie,Solo Con Tu Pareja,1991,940
81005314,Movie,Sparring,2017,940
80242828,Movie,Stephanie,2017,860
81004223,Movie,Terrifier,2017,840
81002592,Movie,Jackpot,2015,920
81158574,Movie,Brother in Love,2019,1100
80237905,Movie,In the Tall Grass,2019,1020
81132440,Movie,Kids on the Block,2019,1020
80117803,TV Show,Raising Dion,2019,10
81004460,Movie,Compulsion,2016,840
81016330,Movie,The Dreamer,2009,1210
70105130,Movie,The Haunting of Molly Hartley,2008,850
81010662,TV Show,Violet Evergarden: Special,2018,10
80141858,Movie,LEGO Jurassic World: The Indominus Escape,2016,250
80111275,TV Show,The Year of Happiness and Love,2009,10
80103426,Movie,We Need to Talk,2016,910
80118889,TV Show,Witches: A Century of Murder,2015,10
70278877,Movie,Iliza Shlesinger: War Paint,2013,750
70199239,Movie,Set Up,2011,850
80245041,Movie,Solo,2018,910
81158575,Movie,Uncle Naji in UAE,2019,950
70253597,Movie,Monsters: Dark Continent,2014,1190
70199239,Movie,Set Up,2011,850
80099306,Movie,Sniper: Special Ops,2016,860
484369,Movie,The Evil Dead,1981,850
81065786,Movie,Used Goods,2018,950
70087541,Movie,You Don't Mess with the Zohan,2008,1130
81004113,TV Show,Age of Rebellion,2018,10
81003984,Movie,Bar??a Dreams,2015,1220
70024088,Movie,Brick,2005,1100
80162141,Movie,Hard Tide,2015,790
80095641,Movie,Elstree 1976,2015,1020
81176188,Movie,American Factory: A Conversation with the Obamas,2019,100
80159880,Movie,ATM,2012,1220
81016044,Movie,Bangkok Traffic (Love) Story,2009,1260
80158838,Movie,I Fine... Thank You... Love You,2014,1160
81016045,Movie,One Day,2016,1350
70142798,Movie,Phobia 2,2009,1250
70062814,Movie,Shutter,2004,960
80158839,Movie,Suckseed,2011,1300
80147760,Movie,Carrie Pilby,2016,980
80177405,Movie,Marc Maron: Too Real,2017,700
80113482,TV Show,No Tomorrow,2016,10
81160036,Movie,Saawan,2016,1280
81173255,Movie,The Heretics,2017,880
81078908,Movie,The World We Make,2019,1080
80158670,Movie,Jeff Dunham: Relative Disaster,2017,710
80223685,TV Show,Daniel Sloss: Live Shows,2018,10
80189586,TV Show,If I were an Animal,2018,10
80244019,Movie,The Resistance Banker,2018,1230
80162143,Movie,The Forgotten,2014,890
81060174,Movie,Bill Burr: Paper Tiger,2019,670
70130445,Movie,Eat Pray Love,2010,1400
80216928,Movie,Evelyn,2019,960
81001494,Movie,Our Godfather,2019,930
81077065,TV Show,Terrace House: Tokyo 2019-2020,2019,10
80991570,Movie,"My Teacher, My Obsession",2018,860
80184129,Movie,68 Kill,2017,960
60000861,Movie,American Psycho,2000,1020
1151375,Movie,Dante's Peak,1997,1080
81137484,Movie,Elena,2012,810
80187228,Movie,First Kill,2017,1020
81031008,Movie,For the Birds,2018,930
70099119,Movie,Igor,2008,870
70039185,Movie,Just Friends,2005,940
81073764,TV Show,Loo Loo Kids: Johny & Friends Musical Adventures,2016,10
81165769,Movie,Mokalik (Mechanic),2019,1000
70056433,Movie,Mr. Woodcock,2007,880
70113003,Movie,My Sister's Keeper,2009,1090
60031232,Movie,Mystic River,2003,1380
80032842,Movie,1-Oct,2014,1490
81137482,Movie,Olmo & the Seagull,2014,820
70043308,Movie,Open Season,2006,860
81165771,Movie,Phone Swap,2012,1120
70044697,Movie,Poseidon,2006,980
70105368,Movie,Rachel Getting Married,2008,1130
80241003,TV Show,Serial Killer with Piers Morgan,2018,10
81141689,Movie,Spookley the Square Pumpkin,2004,470
1008581,Movie,Stripes,1981,1060
70058023,Movie,Superbad,2007,1130
81165786,Movie,The Bridge,2017,1190
81165770,Movie,The CEO,2016,1090
70043303,Movie,The Lake House,2006,980
70136074,Movie,The Last Exorcism,2010,880
80028360,Movie,Jal,2013,1320
80203783,Movie,Macchli Jal Ki Rani Hai,2014,1180
80142617,Movie,Money,2016,840
80201823,Movie,One Night Stand,2016,930
80190841,Movie,OtherLife,2017,960
80115858,Movie,Sardaarji 2,2016,1450
80183199,TV Show,Seven and Me,2017,10
80158547,Movie,Singapore,1960,1580
80206827,Movie,Story of an Egg,2017,1320
80202090,Movie,Tamanchey,2014,1110
80203790,Movie,Teshan,2016,1330
80158391,Movie,Ujala,1959,1430
80201822,Movie,Veerappan,2016,1170
80211540,Movie,Why Knot,2016,840
80123743,Movie,A Mighty Team,2016,970
70258995,Movie,Berserk: The Golden Age Arc I - The Egg of the King,2012,770
70208801,Movie,Bleach The Movie: Fade to Black,2008,940
70260383,Movie,Bleach the Movie: Hell Verse,2010,940
80123744,Movie,Blind Date,2015,910
70204970,TV Show,DEATH NOTE,2006,10
70105699,Movie,Naruto Shipp??den the Movie: Bonds,2008,930
70124999,Movie,Naruto Shippuden: The Movie,2007,950
80088507,TV Show,Power Rangers Dino Super Charge,2016,10
80080727,TV Show,Spotless,2015,10
80990869,Movie,"Martin Matte: La vie, la mort...eh la la..!",2019,620
80187205,Movie,This Is Not What I Expected,2017,1070
80097472,Movie,Sky Ladder: The Art of Cai Guo-Qiang,2016,800
80075009,Movie,Suburra,2015,1350
70293417,TV Show,Russell Peters vs. the World,2013,10
70280748,Movie,Russell Peters: Notorious,2013,720
80997687,TV Show,Dracula,2020,10
80237347,TV Show,Go! Go! Cory Carson,2020,10
81019031,Movie,Soorma,2018,1310
