show_id,type,title,release_year,duration
80067754,Movie,Equals,2015,1020
80189954,Movie,Pup Star: Better 2Gether,2017,930
80094648,Movie,I Am the Pretty Thing That Lives in the House,2016,890
80066073,Movie,Into the Inferno,2016,1070
80123740,Movie,The African Doctor,2016,940
80123741,Movie,They Are Everywhere,2016,1100
80094260,TV Show,Trailer Park Boys: Out of the Park: Europe,2016,10
80123742,Movie,West Coast,2016,810
81197399,TV Show,"Wait, My Youth",2019,10
81000863,Movie,14 Cameras,2018,890
70082255,Movie,Dragon Tiger Gate,2006,940
80197912,TV Show,Beyond Stranger Things,2017,10
80117454,Movie,Joan Didion: The Center Will Not Hold,2017,980
80095197,Movie,7 a?Òos,2016,770
80045783,Movie,Manson Family Vacation,2015,850
81185502,TV Show,A Little Thing Called First Love,2019,10
81123469,Movie,The Last Whistle,2019,880
80211622,Movie,Been So Long,2018,1000
80990221,Movie,Dovlatov,2018,1260
80202352,Movie,Incoming,2019,890
80235268,Movie,Jefe,2018,900
80992500,Movie,Santo Cach??n,2018,870
80241061,Movie,Shirkers,2018,970
80185048,TV Show,Terrorism Close Calls,2018,10
81025088,Movie,W/O Ram,2018,1150
80173479,Movie,Strange Weather,2016,910
80081372,Movie,A Tale of Love and Darkness,2015,980
81136744,Movie,Assimilate,2019,940
80221210,TV Show,Brotherhood,2019,10
81132444,Movie,Consequences?ˇ,2014,1060
80182014,Movie,Dolemite Is My Name,2019,1180
81010786,TV Show,Drug Squad: Costa del Sol,2019,10
81078456,Movie,It Takes a Lunatic,2019,1270
81105406,TV Show,Monz??n: A Knockout Blow,2018,10
81121023,Movie,My Next Guest with David Letterman and Shah Rukh Khan,2019,610
81061828,TV Show,Nailed It! France,2019,10
81062582,TV Show,Nailed It! Spain,2019,10
81017316,TV Show,Prank Encounters,2019,10
81018455,Movie,Rattlesnake,2019,860
81110383,Movie,The Awakening of Motti Wolkenbruch,2018,940
81200228,TV Show,The Untamed,2019,10
70218316,TV Show,DreamWorks Spooky Stories,2009,10
80995073,TV Show,Queens vs. Kings,2018,10
81018183,Movie,Ronnie Coleman: The King,2018,930
80219941,Movie,Meet the Trumps: From Immigrant to President,2017,480
80064515,Movie,The Hateful Eight,2015,1680
80062011,Movie,Walt Disney Animation Studios Short Films Collection,2015,900
